AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2015/2016;102;Torino Politecnico;9;Ingegneria dell'Organizzazione d'Impresa;1;1272;12;F;6
2015/2016;102;Torino Politecnico;9;Ingegneria Informatica;1;1125;12;M;6
2015/2016;102;Torino Politecnico;LM-22;Ingegneria Tessile;1;1272;12;F;6
2015/2016;201;Piemonte Orientale;13;Studio e Gestione dei Beni Culturali;2;2158;2;F;6
2015/2016;201;Piemonte Orientale;24;Controllo di Qualita';3;3106;9;F;6
2015/2016;201;Piemonte Orientale;25;Fisica;6;6003;9;M;6
2015/2016;201;Piemonte Orientale;LM-77;Amministrazione e Gestione;3;3106;7;M;6
2015/2016;701;Aosta;17;Scienze dell'Economia e della Gestione Aziendale;7;7058;7;F;6
2015/2016;1001;Genova;10;Ingegneria Navale;10;10025;12;F;6
2015/2016;1001;Genova;14;Scienze della Comunicazione;9;9056;5;F;6
2015/2016;1001;Genova;14;Scienze della Comunicazione;9;9056;5;M;6
2015/2016;1001;Genova;17;Economia Aziendale;8;8031;7;F;6
2015/2016;1001;Genova;17;Economia Aziendale;8;8031;7;M;6
2015/2016;1001;Genova;17;Economia della Banca, della Borsa e delle Assicurazioni;10;10025;7;M;6
2015/2016;1001;Genova;25;Fisica;10;10025;9;M;6
2015/2016;1001;Genova;26;Informatica;10;10025;10;M;6
2015/2016;1001;Genova;29;Filosofia;10;10025;3;F;6
2015/2016;1001;Genova;29;Filosofia;10;10025;3;M;6
2015/2016;1001;Genova;34;Scienze e Tecniche Psicologiche;10;10025;6;F;6
2015/2016;1001;Genova;4;Tecniche per l'Architettura del Paesaggio;10;10025;11;M;6
2015/2016;1001;Genova;87/S;Scienze Pedagogiche;10;10025;1;F;6
2015/2016;1001;Genova;99999;Ingegneria meccanica;10;10025;12;M;6
2015/2016;1001;Genova;99999;Storia;10;10025;3;F;6
2015/2016;1001;Genova;L-7;Ingegneria dell'Ambiente;9;9056;11;M;6
2015/2016;1001;Genova;LM-12;Design Navale e Nautico;10;10025;2;F;6
2015/2016;1001;Genova;LM-18;Informatica;10;10025;10;F;6
2015/2016;1001;Genova;LM-25;Robotics Engineering - Ingegneria della Robotica;10;10025;12;M;6
2015/2016;1001;Genova;LM-27;Multimedia Signal Processing And Telecommunication Networks - Reti di Telecomunicazioni ed Elaborazione di Segnali Multimediali;10;10025;12;F;6
2015/2016;1001;Genova;LM-30;Environmental & Energy Engineering (Ingegneria per l'Ambiente e l'Energia);9;9056;12;M;6
2015/2016;1001;Genova;LM-68;Scienze e Tecniche dello Sport;10;10025;15;F;6
2015/2016;1001;Genova;LM-87;Servizio Sociale e Politiche Sociali;10;10025;14;M;6
2015/2016;1201;Castellanza LIUC;10;Ingegneria Gestionale;12;12042;12;M;6
2015/2016;1202;Insubria;2;Discipline Giuridiche;13;13075;8;M;6
2015/2016;1202;Insubria;LM-17;Fisica;13;13075;9;F;6
2015/2016;1202;Insubria;LM-77;Global Entrepreneurship Economics And Management /Imprenditorialita, Economia e Management Internazionale (Geem);12;12133;7;F;6
2015/2016;1202;Insubria;LM-77;Imprenditoralita e Management Internazionale;12;12133;7;M;6
2015/2016;1301;Novedrate e-Campus - telematica;28;Corso di Laurea in Psicoeconomia;13;13163;7;F;6
2015/2016;1301;Novedrate e-Campus - telematica;8;Corso di Laurea in Ingegneria Civile;13;13163;11;M;6
2015/2016;1301;Novedrate e-Campus - telematica;LM-32;Ingegneria Informatica e dell'Automazione;13;13163;12;F;6
2015/2016;1501;Milano;28;Economia Europea;15;15146;7;F;6
2015/2016;1501;Milano;3;Mediazione Linguistica e Culturale (Applicata all'Ambito Economico, Giuridico e Sociale);15;15146;4;M;6
2015/2016;1501;Milano;42/S;Lingue e Letterature Europee ed Extraeuropee;15;15146;4;F;6
2015/2016;1501;Milano;99999;Scienze dell'informazione;15;15146;10;F;6
2015/2016;1501;Milano;99999;Scienze e tecnologie agrarie;15;15146;13;M;6
2015/2016;1501;Milano;99999;Scienze motorie;15;15146;15;F;6
2015/2016;1501;Milano;L/SNT2;Terapia della Neuro e Psicomotricita dell'Eta Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricita dell'Eta Evolutiva);97;97009;14;M;6
2015/2016;1501;Milano;L-33;Economia e Management;15;15146;7;M;6
2015/2016;1501;Milano;SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);15;15146;14;M;6
2015/2016;1502;Milano Politecnico;25/S;Ingegneria Aeronautica;15;15146;12;M;6
2015/2016;1502;Milano Politecnico;4;Architettura Ambientale;15;15146;11;M;6
2015/2016;1502;Milano Politecnico;4/S;Architettura;15;15146;11;F;6
2015/2016;1502;Milano Politecnico;99999;Ingegneria aerospaziale;15;15146;12;M;6
2015/2016;1502;Milano Politecnico;L-17;Scienze dell'Architettura;20;20030;11;F;6
2015/2016;1502;Milano Politecnico;L-23;Architettura e Produzione Edilizia;20;20030;11;M;6
2015/2016;1502;Milano Politecnico;LM-28;Ingegneria Elettrica;15;15146;12;F;6
2015/2016;1502;Milano Politecnico;LM-33;Mechanical Engineering - Ingegneria Meccanica;97;97042;12;F;6
2015/2016;1503;Milano Bocconi;99999;Economia e legislazione per l'impresa;15;15146;7;M;6
2015/2016;1504;Milano Cattolica;13;Scienze dei Beni Culturali;15;15146;2;F;6
2015/2016;1504;Milano Cattolica;14;Linguaggi dei Media;15;15146;5;F;6
2015/2016;1504;Milano Cattolica;17;Economia Aziendale;33;33032;7;F;6
2015/2016;1504;Milano Cattolica;20;Scienze e Tecnologie Agrarie;33;33032;13;M;6
2015/2016;1504;Milano Cattolica;23;Scienze e Tecnologie delle Arti e dello Spettacolo;17;17029;2;F;6
2015/2016;1504;Milano Cattolica;29;Scienze Umane e Filosofiche;15;15146;3;F;6
2015/2016;1504;Milano Cattolica;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);58;58091;14;M;6
2015/2016;1504;Milano Cattolica;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);21;21008;14;M;6
2015/2016;1504;Milano Cattolica;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);21;21008;14;M;6
2015/2016;1504;Milano Cattolica;LM-17;Fisica;17;17029;9;F;6
2015/2016;1504;Milano Cattolica;LM-50;Consulenza Pedagogica per la Disabilità e la Marginalità;15;15146;1;M;6
2015/2016;1504;Milano Cattolica;LM-50;Progettazione Pedagogica nei Servizi per Minori;33;33032;1;M;6
2015/2016;1505;Milano IULM;99999;Relazioni pubbliche;15;15146;5;F;6
2015/2016;1509;Milano Bicocca;14;Scienze della Comunicazione;15;15146;5;M;6
2015/2016;1509;Milano Bicocca;2;Scienze per Operatori dei Servizi Giuridici;15;15146;8;M;6
2015/2016;1509;Milano Bicocca;28;Economia e Gestione dei Servizi Turistici;15;15146;7;M;6
2015/2016;1509;Milano Bicocca;L-24;Comunicazione e Psicologia;15;15146;6;M;6
2015/2016;1509;Milano Bicocca;L-24;Discipline della Ricerca Psicologico-Sociale;15;15146;6;F;6
2015/2016;1509;Milano Bicocca;L-30;Scienze e Tecnologie Orafe;15;15146;9;F;6
2015/2016;1601;Bergamo;10;Ingegneria Tessile;16;16091;12;M;6
2015/2016;1601;Bergamo;28;Economia e Commercio;16;16024;7;F;6
2015/2016;1601;Bergamo;28;Economia e Commercio;16;16024;7;M;6
2015/2016;1601;Bergamo;36/S;Ingegneria Meccanica;16;16091;12;M;6
2015/2016;1601;Bergamo;99999;Ingegneria gestionale;16;16091;12;M;6
2015/2016;1601;Bergamo;L-18;Economia Aziendale;16;16219;7;F;6
2015/2016;1701;Brescia;17;Economia e Gestione dell'Informazione e della Comunicazione;17;17029;7;M;6
2015/2016;1701;Brescia;31;Scienze Giuridiche;17;17029;8;M;6
2015/2016;1701;Brescia;36/S;Ingegneria Meccanica;17;17029;12;M;6
2015/2016;1701;Brescia;8;Ingegneria Civile;17;17029;11;F;6
2015/2016;1701;Brescia;99999;Ingegneria civile;17;17029;11;F;6
2015/2016;1701;Brescia;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);17;17029;14;M;6
2015/2016;1701;Brescia;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);20;20030;14;M;6
2015/2016;1701;Brescia;L-9;Ingegneria dei Materiali;17;17029;12;M;6
2015/2016;1701;Brescia;LM-27;Communication Technologies And Multimedia - Tecnologie delle Comunicazioni e Multimedia;17;17029;12;F;6
2015/2016;1701;Brescia;LM-67;Science And Technology For Population Health And Wealth - Scienze e Tecnologie per la Salute e il Benessere della Popolazione;17;17029;14;F;6
2015/2016;1801;Pavia;19;Governo e Amministrazione;18;18110;5;M;6
2015/2016;1801;Pavia;5;Lettere Moderne;18;18110;3;F;6
2015/2016;1801;Pavia;99999;Economia e commercio;18;18110;7;M;6
2015/2016;1801;Pavia;99999;Ingegneria elettronica;18;18110;12;M;6
2015/2016;1801;Pavia;L-10;Antichita Classiche e Orientali;18;18110;3;F;6
2015/2016;1801;Pavia;LM-29;Ingegneria Elettronica;18;18110;12;M;6
2015/2016;1801;Pavia;LM-37;Letterature Europee e Americane;18;18110;4;M;6
2015/2016;1801;Pavia;LM-56;Economia, Finanza ed Integrazione Internazionale;18;18110;7;M;6
2015/2016;1801;Pavia;LM-89;Storia delle Arti dall'Antichita al Contemporaneo;18;18110;2;M;6
2015/2016;2101;Bolzano;26;Corso di Laurea in Informatica Applicata;21;21008;10;M;6
2015/2016;2101;Bolzano;L-25;Scienze e Tecnologie Agrarie;21;21008;13;M;6
2015/2016;2101;Bolzano;L-9;Ingegneria Logistica e della Produzione;21;21008;12;M;6
2015/2016;2101;Bolzano;LM-30;Ingegneria Energetica;21;21008;12;F;6
2015/2016;2101;Bolzano;LM-87;Innovazione e Ricerca per Gli Interventi Socio-Assistenziali-Educativi;21;21011;14;M;6
2015/2016;2201;Trento;17;Economia e Diritto;22;22205;7;F;6
2015/2016;2201;Trento;22/S;Giurisprudenza;22;22205;8;F;6
2015/2016;2201;Trento;99999;Economia politica;22;22205;7;M;6
2015/2016;2301;Verona;2;Scienze dei Servizi Giuridici per l'Amministrazione;23;23091;8;F;6
2015/2016;2301;Verona;20;Scienze e Tecnologie Viticole ed Enologiche;23;23076;13;M;6
2015/2016;2301;Verona;29;Filosofia;23;23091;3;F;6
2015/2016;2301;Verona;3;Lingue e Culture per il Turismo e il Commercio Internazionale;23;23091;4;M;6
2015/2016;2301;Verona;84/S;Economia e Legislazione di Impresa;23;23091;7;F;6
2015/2016;2301;Verona;5;Lettere;23;23091;3;F;6
2015/2016;2301;Verona;5;Lettere;23;23091;3;M;6
2015/2016;2301;Verona;99999;Filosofia;23;23091;3;F;6
2015/2016;2301;Verona;99999;Giurisprudenza;23;23091;8;M;6
2015/2016;2301;Verona;99999;Medicina e chirurgia;23;23091;14;M;6
2015/2016;2701;Ca' Foscari Venezia;28;Economia e Gestione dei Servizi Turistici;27;27023;7;F;6
2015/2016;2701;Ca' Foscari Venezia;99999;Conservazione dei beni culturali;27;27042;2;M;6
2015/2016;2701;Ca' Foscari Venezia;38;Storia;27;27042;3;M;6
2015/2016;2701;Ca' Foscari Venezia;99999;Lingue e civiltà orientali;27;27042;4;F;6
2015/2016;2701;Ca' Foscari Venezia;L-27;Chimica;27;27042;9;M;6
2015/2016;2702;Venezia Iuav;7;Scienze della Pianificazione Urbanistica e Territoriale;27;27042;11;F;6
2015/2016;2702;Venezia Iuav;7;Sistemi Informativi Territoriali;27;27042;11;F;6
2015/2016;2801;Padova;10;Ingegneria Gestionale;24;24116;12;F;6
2015/2016;2801;Padova;14;Scienze della Comunicazione;28;28060;5;F;6
2015/2016;2801;Padova;19;Governo delle Amministrazioni;28;28060;5;M;6
2015/2016;2801;Padova;25;Fisica;28;28060;9;M;6
2015/2016;2801;Padova;29;Filosofia;28;28060;3;M;6
2015/2016;2801;Padova;31;Scienze Giuridiche;26;26086;8;F;6
2015/2016;2801;Padova;31;Scienze Giuridiche;28;28060;8;M;6
2015/2016;2801;Padova;33;Scienze Motorie;28;28060;15;F;6
2015/2016;2801;Padova;9;Ingegneria delle Telecomunicazioni;28;28060;12;M;6
2015/2016;2801;Padova;92/S;Statistica e Informatica;28;28060;9;M;6
2015/2016;2801;Padova;99999;Astronomia;28;28060;9;M;6
2015/2016;2801;Padova;99999;Filosofia;28;28060;3;M;6
2015/2016;2801;Padova;99999;Ingegneria elettrica;28;28060;12;M;6
2015/2016;2801;Padova;99999;Ingegneria informatica;28;28060;12;M;6
2015/2016;2801;Padova;99999;Scienze biologiche;28;28060;9;F;6
2015/2016;2801;Padova;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);28;28060;14;M;6
2015/2016;2801;Padova;L-14;Diritto dell?Economia e Governo delle Organizzazioni;29;29041;8;F;6
2015/2016;2801;Padova;L-9;Ingegneria dei Processi Industriali e dei Materiali;28;28060;12;F;6
2015/2016;2801;Padova;LM-09;Pharmaceutical Biotechnologies;28;28060;9;M;6
2015/2016;2801;Padova;LM-18;Informatica;28;28060;10;F;6
2015/2016;2801;Padova;LM-44;Mathematical Engineering - Ingegneria Matematica;28;28060;12;F;6
2015/2016;2801;Padova;LM-93;Teorie e Metodologie dell'E-Learning e della Media Education;28;28060;1;M;6
2015/2016;3001;Udine;8;Ingegneria Civile;30;30129;11;F;6
2015/2016;3001;Udine;9;Ingegneria Gestionale dell'Informazione;30;30129;12;M;6
2015/2016;3001;Udine;99999;Ingegneria elettronica;30;30129;12;M;6
2015/2016;3001;Udine;99999;Ingegneria gestionale;30;30129;12;M;6
2015/2016;3001;Udine;99999;Ingegneria meccanica;30;30129;12;M;6
2015/2016;3001;Udine;99999;Scienze economiche e bancarie;30;30129;7;M;6
2015/2016;3001;Udine;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);30;30129;14;M;6
2015/2016;3001;Udine;L-12;Lingue e Letterature Straniere;30;30129;4;F;6
2015/2016;3001;Udine;LM-22;Ingegneria per l'Ambiente e l'Energia;30;30129;12;F;6
2015/2016;3001;Udine;LM-7;Biotecnologie delle Piante e degli Animali;30;30129;9;M;6
2015/2016;3001;Udine;LM-86;Allevamento e Benessere Animale;30;30129;13;M;6
2015/2016;3201;Trieste;10;Ingegneria Industriale;93;93033;12;M;6
2015/2016;3201;Trieste;15;Scienze Politiche;32;32006;5;F;6
2015/2016;3201;Trieste;17;Economia e Amministrazione delle Imprese;32;32006;7;F;6
2015/2016;3201;Trieste;18;Scienze dell'Educazione;32;32006;1;F;6
2015/2016;3201;Trieste;6;Scienze del Servizio Sociale;32;32006;14;F;6
2015/2016;3201;Trieste;99999;Architettura;32;32006;11;M;6
2015/2016;3201;Trieste;99999;Medicina e chirurgia;32;32006;14;F;6
2015/2016;3201;Trieste;99999;Scienze biologiche;32;32006;9;M;6
2015/2016;3201;Trieste;LM-15;Scienze dell'Antichita: Archeologia, Storia, Letterature;32;32006;3;F;6
2015/2016;3201;Trieste;LM-15;Scienze dell'Antichita: Archeologia, Storia, Letterature;32;32006;3;M;6
2015/2016;3201;Trieste;LM-2;Scienze dell'Antichita: Archeologia, Storia, Letterature;32;32006;3;F;6
2015/2016;3201;Trieste;LM-28;Ingegneria dell'Energia Elettrica e dei Sistemi;32;32006;12;F;6
2015/2016;3401;Parma;10;Ingegneria Gestionale;34;34027;12;M;6
2015/2016;3401;Parma;10;Ingegneria Meccanica;34;34027;12;F;6
2015/2016;3401;Parma;13;Storia, Scienze e Conservazione dei Beni Culturali;34;34027;2;F;6
2015/2016;3401;Parma;24;Informazione Scientifica sul Farmaco;34;34027;9;F;6
2015/2016;3401;Parma;26;Informatica;34;34027;10;M;6
2015/2016;3401;Parma;29;Studi Filosofici;34;34027;3;M;6
2015/2016;3401;Parma;31;Scienze Giuridiche;34;34027;8;M;6
2015/2016;3401;Parma;4;Tecniche dell'Edilizia;34;34027;11;M;6
2015/2016;3401;Parma;40;Scienze e Tecniche Equine;34;34027;13;F;6
2015/2016;3401;Parma;5;Civilta' Letterarie e Storia delle Civilta';34;34027;3;M;6
2015/2016;3401;Parma;9;Ingegneria delle Telecomunicazioni;34;34027;12;M;6
2015/2016;3401;Parma;99999;Lettere;34;34027;3;M;6
2015/2016;3401;Parma;99999;Odontoiatria e protesi dentaria;34;34027;14;M;6
2015/2016;3401;Parma;LM-15;Lettere Classiche e Moderne;34;34027;3;M;6
2015/2016;3401;Parma;LM-33;Ingegneria Meccanica;34;34027;12;F;6
2015/2016;3601;Modena e Reggio Emilia;10;Ingegneria dei Materiali;36;36023;12;M;6
2015/2016;3601;Modena e Reggio Emilia;26;Informatica;36;36023;10;M;6
2015/2016;3601;Modena e Reggio Emilia;3;Lingue e Culture Europee;36;36023;4;F;6
2015/2016;3601;Modena e Reggio Emilia;99999;Economia e commercio;36;36023;7;F;6
2015/2016;3601;Modena e Reggio Emilia;99999;Economia e commercio;36;36023;7;M;6
2015/2016;3601;Modena e Reggio Emilia;LM-29;Ingegneria Elettronica;36;36023;12;F;6
2015/2016;3701;Bologna;13;Beni Archeologici;39;39014;2;F;6
2015/2016;3701;Bologna;13;Beni Storico-Artistici e Musicali;39;39014;2;F;6
2015/2016;3701;Bologna;15;Scienze Internazionali e Diplomatiche;40;40012;5;M;6
2015/2016;3701;Bologna;15;Scienze Politiche;37;37006;5;F;6
2015/2016;3701;Bologna;2;Consulente del Lavoro;37;37006;8;M;6
2015/2016;3701;Bologna;2;Operatore Giuridico d'Impresa;39;39014;8;F;6
2015/2016;3701;Bologna;25;Astronomia;37;37006;9;M;6
2015/2016;3701;Bologna;28;Economia e Diritto;37;37006;7;M;6
2015/2016;3701;Bologna;30;Scienze Geografiche;37;37006;5;M;6
2015/2016;3701;Bologna;35/S;Ingegneria Informatica;37;37006;12;M;6
2015/2016;3701;Bologna;6;Servizio Sociale;37;37006;14;F;6
2015/2016;3701;Bologna;8;Ingegneria per l'Ambiente e il Territorio;37;37006;11;F;6
2015/2016;3701;Bologna;87/S;Pedagogia;37;37006;1;F;6
2015/2016;3701;Bologna;99999;Economia aziendale;37;37006;7;F;6
2015/2016;3701;Bologna;99999;Economia del turismo;99;99014;7;M;6
2015/2016;3701;Bologna;99999;Ingegneria nucleare;37;37006;12;M;6
2015/2016;3701;Bologna;99999;Scienze dell'informazione;40;40007;10;M;6
2015/2016;3701;Bologna;99999;Scienze e tecnologie agrarie;37;37006;13;M;6
2015/2016;3701;Bologna;99999;Scienze motorie;37;37006;15;M;6
2015/2016;3701;Bologna;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);39;39010;14;M;6
2015/2016;3701;Bologna;L-42;Scienze Antropologiche;37;37006;3;M;6
2015/2016;3701;Bologna;L-42;Storia e Civilta' Orientali;37;37006;3;F;6
2015/2016;3701;Bologna;LM-27;Ingegneria delle Telecomunicazioni;37;37006;12;F;6
2015/2016;3701;Bologna;LM-28;Ingegneria Elettrica;37;37006;12;M;6
2015/2016;3701;Bologna;LM-50;Progettazione e Gestione dell?Intervento Educativo Nel Disagio Sociale;37;37006;1;F;6
2015/2016;3701;Bologna;LM-81;Cooperazione Internazionale, Tutela dei Diritti Umani e dei Beni Etno-Culturali Nel Mediterraneo e in Eurasia;39;39014;5;M;6
2015/2016;3701;Bologna;SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);37;37032;14;F;6
2015/2016;3801;Ferrara;2;Operatore Giudiziario e dei Corpi di Polizia;38;38008;8;M;6
2015/2016;3801;Ferrara;25;Fisica ed Astrofisica;38;38008;9;M;6
2015/2016;3801;Ferrara;31;Scienze Giuridiche - Sede di Rovigo;29;29041;8;M;6
2015/2016;3801;Ferrara;99999;Ingegneria elettronica;38;38008;12;M;6
2015/2016;3801;Ferrara;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);38;38008;14;M;6
2015/2016;3801;Ferrara;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);38;38008;14;M;6
2015/2016;3801;Ferrara;L-8;Ingegneria dell'Informazione;38;38008;12;F;6
2015/2016;4101;Urbino;28;Economia e Commercio;41;41067;7;F;6
2015/2016;4101;Urbino;6/S;Tecnologie Applicate alla Diagnostica di Laboratorio Biomedico;41;41067;9;F;6
2015/2016;4101;Urbino;99999;Filosofia;41;41067;3;M;6
2015/2016;4101;Urbino;LM-15;Lettere Classiche e Moderne;41;41067;3;M;6
2015/2016;4101;Urbino;LM-78;Filosofie della Conoscenza, della Morale e della Comunicazione;41;41067;3;F;6
2015/2016;4201;Marche;10;Ingegneria e Gestione della Produzione;41;41044;12;M;6
2015/2016;4201;Marche;8;Ingegneria Civile;42;42002;11;F;6
2015/2016;4201;Marche;84/S;Economia e Management;42;42002;7;M;6
2015/2016;4201;Marche;99999;Ingegneria per l'ambiente e il territorio;42;42002;11;F;6
2015/2016;4201;Marche;SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);109;109006;14;F;6
2015/2016;4301;Macerata;11;Lingue, Letterature e Culture Straniere;43;43023;4;F;6
2015/2016;4301;Macerata;17;Economia Aziendale;43;43023;7;M;6
2015/2016;4301;Macerata;17;Economia Bancaria, Finanziaria ed Assicurativa;43;43023;7;F;6
2015/2016;4301;Macerata;14;Scienze della Comunicazione;43;43023;5;M;6
2015/2016;4301;Macerata;6;Scienze del Servizio Sociale;43;43023;14;F;6
2015/2016;4301;Macerata;99999;Economia bancaria, finanziaria e assicurativa;43;43023;7;F;6
2015/2016;4301;Macerata;L-14;Operatore Giudiziario;42;42021;8;M;6
2015/2016;4301;Macerata;L-36;Discipline dell'Unione Europea, Relazioni Internazionali e Cooperazione;43;43023;5;F;6
2015/2016;4801;Firenze;18;Educatore Professionale;48;48017;1;M;6
2015/2016;4801;Firenze;20;Scienze Forestali e Ambientali;48;48017;13;F;6
2015/2016;4801;Firenze;22/S;Giurisprudenza;48;48017;8;M;6
2015/2016;4801;Firenze;34;Scienze e Tecniche di Psicologia del Lavoro e delle Organizzazioni;48;48017;6;F;6
2015/2016;4801;Firenze;5;Lettere;48;48017;3;M;6
2015/2016;4801;Firenze;52/S;Odontoiatria e Protesi Dentaria;48;48017;14;M;6
2015/2016;4801;Firenze;6;Servizio Sociale;48;48017;14;M;6
2015/2016;4801;Firenze;8;Ingegneria per l'Ambiente ed il Territorio;48;48017;11;M;6
2015/2016;4801;Firenze;99999;Fisica;48;48017;9;M;6
2015/2016;4801;Firenze;99999;Ingegneria civile;48;48017;11;F;6
2015/2016;4801;Firenze;99999;Matematica;48;48017;9;M;6
2015/2016;4801;Firenze;99999;Scienze forestali;48;48017;13;F;6
2015/2016;4801;Firenze;99999;Scienze forestali ed ambientali;48;48017;13;F;6
2015/2016;4801;Firenze;L-25;Scienze Vivaistiche, Ambiente e Gestione del Verde;47;47014;13;F;6
2015/2016;4801;Firenze;L-25;Scienze Faunistiche;48;48017;13;F;6
2015/2016;4801;Firenze;L-3;Cultura e Progettazione della Moda;48;48041;2;F;6
2015/2016;4801;Firenze;LM-15;Filologia, Letteratura e Storia dell'Antichita;48;48017;3;M;6
2015/2016;4801;Firenze;LM-59;Comunicazione Strategica;48;48017;5;F;6
2015/2016;4801;Firenze;SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);48;48017;14;M;6
2015/2016;5001;Pisa;10;Ingegneria Aerospaziale;50;50026;12;F;6
2015/2016;5001;Pisa;14;Comunicazione Pubblica, Sociale e di Impresa;50;50026;5;M;6
2015/2016;5001;Pisa;2/S;Archeologia;50;50026;3;M;6
2015/2016;5001;Pisa;20;Scienze Agrarie;50;50026;13;F;6
2015/2016;5001;Pisa;23/S;Informatica;50;50026;10;M;6
2015/2016;5001;Pisa;26;Informatica Applicata;11;11015;10;M;6
2015/2016;5001;Pisa;26/S;Ingegneria Biomedica;50;50026;12;F;6
