AnnoA;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeP;SedeC;GruppoCODICE;Sesso;Isc
2018/2019;1501;Milano;99999;Scienze dell'informazione;15;15146;10;M;6
2018/2019;1501;Milano;L/SNT3;Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista);15;15146;14;M;6
2018/2019;1501;Milano;L-2;Biotecnologie Farmaceutiche;15;15146;9;M;6
2018/2019;1501;Milano;LM-6;Biologia Molecolare della Cellula;15;15146;9;F;6
2018/2019;1501;Milano;LM-77;Management dell'Innovazione e Imprenditorialita;15;15146;7;M;6
2018/2019;1502;Milano Politecnico;99999;Architettura;15;15146;11;M;6
2018/2019;1502;Milano Politecnico;L-17;Architettura delle Costruzioni;15;15146;11;M;6
2018/2019;1502;Milano Politecnico;L-17;Progettazione Architettonica;15;15146;11;M;6
2018/2019;1502;Milano Politecnico;LM-33;Mechanical Engineering - Ingegneria Meccanica;97;97042;12;F;6
2018/2019;1503;Milano Bocconi;99999;Economia delle istituzioni e dei mercati finanziari;15;15146;7;M;6
2018/2019;1504;Milano Cattolica;3;Scienze Linguistiche;15;15146;4;F;6
2018/2019;1504;Milano Cattolica;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);76;76063;14;M;6
2018/2019;1504;Milano Cattolica;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);58;58091;14;M;6
2018/2019;1504;Milano Cattolica;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);58;58091;14;F;6
2018/2019;1504;Milano Cattolica;L-18;Diritto ed Economia delle Banche e dei Mercati Finanziari;33;33032;7;M;6
2018/2019;1504;Milano Cattolica;L-19;Scienze dell?Educazione e della Formazione;15;15146;1;F;6
2018/2019;1504;Milano Cattolica;L-39;Scienze del Servizio Sociale;17;17029;14;M;6
2018/2019;1504;Milano Cattolica;LM/SNT2;Scienze Riabilitative delle Professioni Sanitarie;58;58091;14;M;6
2018/2019;1504;Milano Cattolica;LM-87;Politiche e Servizi Sociali per le Famiglie, i Minori e le Comunita;15;15146;14;F;6
2018/2019;1505;Milano IULM;LM-89;Arti, Patrimoni e Mercati;15;15146;2;M;6
2018/2019;1509;Milano Bicocca;17;Marketing, Comunicazione Aziendale e Mercati Internazionali;15;15146;7;M;6
2018/2019;1509;Milano Bicocca;22/S;Giurisprudenza;15;15146;8;F;6
2018/2019;1509;Milano Bicocca;36;Sociologia;15;15146;5;F;6
2018/2019;1509;Milano Bicocca;57/S;Programmazione e Gestione delle Politiche e dei Servizi Sociali;15;15146;14;F;6
2018/2019;1510;Rozzano (MI) Humanitas University;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);16;16024;14;M;6
2018/2019;1601;Bergamo;11;Lingue e Letterature Straniere;16;16024;4;M;6
2018/2019;1601;Bergamo;99999;Economia e commercio;16;16024;7;M;6
2018/2019;1601;Bergamo;99999;Ingegneria gestionale;16;16091;12;M;6
2018/2019;1601;Bergamo;9;Ingegneria Informatica;16;16091;12;M;6
2018/2019;1701;Brescia;17;Banca e Finanza;17;17029;7;M;6
2018/2019;1701;Brescia;99999;Ingegneria elettronica;17;17029;12;M;6
2018/2019;1701;Brescia;LM-09;Biotecnologie Mediche;17;17029;9;M;6
2018/2019;1701;Brescia;LM-35;Civil And Environmental Engineering - Ingegneria Civile e Ambientale;17;17029;11;F;6
2018/2019;1701;Brescia;LM-35;Civil And Environmental Engineering - Ingegneria Civile e Ambientale;17;17029;11;M;6
2018/2019;1701;Brescia;LM-67;Scienze e Tecniche delle Attivita Motorie Preventive e Adattate;17;17029;14;M;6
2018/2019;1801;Pavia;12;Scienze Biologiche;18;18110;9;F;6
2018/2019;1801;Pavia;99999;Ingegneria elettronica;18;18110;12;M;6
2018/2019;1801;Pavia;99999;Scienze politiche;18;18110;5;M;6
2018/2019;1801;Pavia;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);18;18110;14;M;6
2018/2019;1801;Pavia;LM-23;Civil Engineering For Mitigation Of Risk From Natural Hazards;18;18110;11;F;6
2018/2019;1801;Pavia;LM-25;Industrial Automation Engineering;18;18110;12;F;6
2018/2019;1801;Pavia;LM-77;International Business And Entrepreneurship - Management Internazionale e Imprenditorialita;18;18110;7;F;6
2018/2019;2101;Bolzano;18-bis;Scienze della Formazione Primaria;21;21011;1;M;6
2018/2019;2101;Bolzano;L-18;Management del Turismo, dello Sport e degli Eventi;21;21008;7;F;6
2018/2019;2101;Bolzano;L-20;Scienze della Comunicazione e Cultura;21;21011;5;M;6
2018/2019;2101;Bolzano;L-39;Corso di Laurea in Servizio Sociale;21;21011;14;M;6
2018/2019;2101;Bolzano;LM-18;Computational Logic;21;21008;10;M;6
2018/2019;2101;Bolzano;LM-18;Software Engineering;21;21008;10;M;6
2018/2019;2101;Bolzano;LM-45;Musicologia;21;21011;2;F;6
2018/2019;2101;Bolzano;LM-87;Innovazione e Ricerca per Gli Interventi Socio-Assistenziali-Educativi;21;21011;14;M;6
2018/2019;2201;Trento;17;Economia e Gestione Aziendale;22;22205;7;F;6
2018/2019;2201;Trento;8;Ingegneria Civile;22;22205;11;M;6
2018/2019;2201;Trento;99999;Lingue e letterature straniere;22;22205;4;F;6
2018/2019;2201;Trento;L-14;Comparative, European And International Legal Studies;22;22205;8;M;6
2018/2019;2201;Trento;LM-52;European And International Studies - Studi Europei e Internazionali;22;22205;5;F;6
2018/2019;2201;Trento;LM-52;European And International Studies - Studi Europei e Internazionali;22;22205;5;M;6
2018/2019;2301;Verona;17;Economia Aziendale;23;23091;7;F;6
2018/2019;2301;Verona;18;Esperti nei Processi Formativi;23;23091;1;F;6
2018/2019;2301;Verona;33;Scienze delle Attivita Motorie e Sportive;23;23091;15;M;6
2018/2019;2301;Verona;57/S;Progettazione ed Attuazione di Interventi di Servizio Sociale Ad Elevata Complessita;23;23091;14;F;6
2018/2019;2301;Verona;99999;Medicina e chirurgia;23;23091;14;F;6
2018/2019;2301;Verona;99999;Medicina e chirurgia;23;23091;14;M;6
2018/2019;2301;Verona;LM/SNT1;Scienze Infermieristiche e Ostetriche;21;21008;14;M;6
2018/2019;2301;Verona;LM-09;Molecular And Medical Biotechnology - Biotecnologie Molecolari e Mediche;23;23091;9;M;6
2018/2019;2301;Verona;LM-18;Medical Bioinformatics;23;23091;10;F;6
2018/2019;2301;Verona;LM-39;Linguistics - Linguistica;23;23091;4;F;6
2018/2019;2301;Verona;LM-87;Servizio Sociale in Ambiti Complessi;23;23091;14;M;6
2018/2019;2701;Ca' Foscari Venezia;17;Economia Aziendale;27;27042;7;F;6
2018/2019;2701;Ca' Foscari Venezia;99999;Economia aziendale;27;27042;7;M;6
2018/2019;2701;Ca' Foscari Venezia;99999;Economia e commercio;27;27042;7;M;6
2018/2019;2701;Ca' Foscari Venezia;LM-15;Scienze dell'Antichita: Letterature, Storia e Archeologia;27;27042;3;M;6
2018/2019;2701;Ca' Foscari Venezia;LM-2;Scienze dell'Antichita: Letterature, Storia e Archeologia;27;27042;3;F;6
2018/2019;2701;Ca' Foscari Venezia;LM-38;Lingue e Istituzioni Economiche e Giuridiche dell?Asia e dell?Africa Mediterranea;27;27042;4;F;6
2018/2019;2701;Ca' Foscari Venezia;LM-53;Scienze e Tecnologie dei Bio e Nanomateriali;27;27042;12;F;6
2018/2019;2702;Venezia Iuav;LM-4;Architettura;27;27042;11;M;6
2018/2019;2801;Padova;10;Ingegneria Aerospaziale;28;28060;12;M;6
2018/2019;2801;Padova;20;Scienze e Tecnologie Agrarie;28;28044;13;M;6
2018/2019;2801;Padova;3;Discipline della Mediazione Linguistica e Culturale;28;28060;4;F;6
2018/2019;2801;Padova;5;Lettere;28;28060;3;F;6
2018/2019;2801;Padova;9;Ingegneria Informatica;28;28060;12;M;6
2018/2019;2801;Padova;99999;Farmacia;28;28060;14;F;6
2018/2019;2801;Padova;99999;Filosofia;28;28060;3;M;6
2018/2019;2801;Padova;99999;Psicologia;28;28060;6;M;6
2018/2019;2801;Padova;99999;Scienze dell'educazione;28;28060;1;F;6
2018/2019;2801;Padova;L-1;Storia e Tutela dei Beni Culturali;28;28060;2;F;6
2018/2019;2801;Padova;L-41;Statistica, Economia e Finanza;28;28060;9;M;6
2018/2019;2801;Padova;LM-28;Ingegneria Elettrica;28;28060;12;M;6
2018/2019;2801;Padova;LM-50;Programmazione e Gestione dei Servizi Educativi, Scolastici e Formativi;29;29041;1;F;6
2018/2019;2801;Padova;LM-87;Scienze del Servizio Sociale;28;28060;14;M;6
2018/2019;3001;Udine;10;Ingegneria Gestionale Industriale;30;30129;12;M;6
2018/2019;3001;Udine;13;Conservazione dei Beni Culturali;30;30129;2;F;6
2018/2019;3001;Udine;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);30;30129;14;F;6
2018/2019;3001;Udine;LM-2;Scienze dell'Antichità: Archeologia, Storia, Letterature;30;30129;3;F;6
2018/2019;3001;Udine;LM-65;Scienze del Patrimonio Audiovisivo e dell'Educazione Ai Media;31;31007;2;M;6
2018/2019;3001;Udine;LM-78;Filosofia;30;30129;3;F;6
2018/2019;3201;Trieste;13;Scienze dei Beni Culturali;32;32006;2;F;6
2018/2019;3201;Trieste;14/S;Chimica e Tecnologia Farmaceutiche (Scienza del Farmaco);32;32006;14;F;6
2018/2019;3201;Trieste;11;Lingue e Culture Straniere Moderne;32;32006;4;F;6
2018/2019;3201;Trieste;9;Ingegneria Informatica;32;32006;12;M;6
2018/2019;3201;Trieste;99999;Medicina e chirurgia;32;32006;14;F;6
2018/2019;3201;Trieste;99999;Scienze della comunicazione;32;32006;5;F;6
2018/2019;3201;Trieste;99999;Storia;32;32006;3;F;6
2018/2019;3201;Trieste;L-13;Biologia;32;32006;9;F;6
2018/2019;3201;Trieste;LM-14;Italianistica;32;32006;3;F;6
2018/2019;3201;Trieste;LM-29;Ingegneria Elettronica e delle Telecomunicazioni;32;32006;12;M;6
2018/2019;3401;Parma;13;Beni Artistici, Teatrali, Cinematografici e dei Nuovi Media;34;34027;2;F;6
2018/2019;3401;Parma;14/S;Farmacia;34;34027;14;M;6
2018/2019;3401;Parma;18;Scienze dell'Educazione e dei Processi Formativi;34;34027;1;F;6
2018/2019;3401;Parma;17;Economia Aziendale;34;34027;7;M;6
2018/2019;3401;Parma;5;Scienze della Comunicazione Scritta e Ipertestuale;34;34027;3;F;6
2018/2019;3401;Parma;8;Ingegneria Civile;34;34027;11;M;6
2018/2019;3401;Parma;99999;Farmacia;34;34027;14;M;6
2018/2019;3401;Parma;99999;Pedagogia;34;34027;1;F;6
2018/2019;3401;Parma;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);34;34027;14;M;6
2018/2019;3401;Parma;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);34;34027;14;M;6
2018/2019;3601;Modena e Reggio Emilia;18;Scienze dell'Educazione;35;35033;1;F;6
2018/2019;3601;Modena e Reggio Emilia;99999;Giurisprudenza;36;36023;8;M;6
2018/2019;3601;Modena e Reggio Emilia;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);36;36023;14;M;6
2018/2019;3601;Modena e Reggio Emilia;LM-33;Ingegneria del Veicolo Ad Alte Prestazioni;36;36023;12;F;6
2018/2019;3601;Modena e Reggio Emilia;LM-33;Ingegneria Meccatronica;35;35033;12;F;6
2018/2019;3601;Modena e Reggio Emilia;LM-35;Ingegneria per la Sostenibilita Ambientale;36;36023;11;F;6
2018/2019;3701;Bologna;10;Ingegneria Gestionale;37;37006;12;M;6
2018/2019;3701;Bologna;14/S;Farmacia;99;99014;14;M;6
2018/2019;3701;Bologna;17;Economia Aziendale;37;37006;7;F;6
2018/2019;3701;Bologna;18-bis;Scienze della Formazione Primaria;37;37006;1;M;6
2018/2019;3701;Bologna;26;Scienze dell'Informazione;40;40007;10;M;6
2018/2019;3701;Bologna;9;Ingegneria Informatica;40;40007;12;M;6
2018/2019;3701;Bologna;99999;Economia e commercio;40;40012;7;M;6
2018/2019;3701;Bologna;99999;Ingegneria civile;37;37006;11;F;6
2018/2019;3701;Bologna;LM-6;Biodiversita ed Evoluzione;37;37006;9;M;6
2018/2019;3701;Bologna;LM-67;Scienze e Tecniche dell'Attivita Motoria Preventiva e Adattata;37;37006;14;M;6
2018/2019;3801;Ferrara;17;Economia e Gestione delle Imprese e degli Intermediari Finanziari;38;38008;7;F;6
2018/2019;3801;Ferrara;4/S;Architettura;38;38008;11;F;6
2018/2019;3801;Ferrara;9;Ingegneria dell'Informazione (Automazione, Elettronica, Informatica, Telecomunicazioni);38;38008;12;M;6
2018/2019;3801;Ferrara;99999;Architettura;38;38008;11;M;6
2018/2019;3801;Ferrara;99999;Ingegneria dei materiali;38;38008;12;M;6
2018/2019;3801;Ferrara;99999;Ingegneria elettronica;38;38008;12;M;6
2018/2019;3801;Ferrara;99999;Scienze dell'educazione;38;38008;1;F;6
2018/2019;3801;Ferrara;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);38;38008;14;M;6
2018/2019;3801;Ferrara;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);38;38008;14;M;6
2018/2019;4101;Urbino;99999;Economia e commercio;41;41067;7;M;6
2018/2019;4101;Urbino;99999;Lingue e letterature straniere;41;41067;4;F;6
2018/2019;4101;Urbino;LM-77;Economia e Gestione Aziendale;41;41067;7;F;6
2018/2019;4201;Marche;8;Ingegneria per l'Ambiente e il Territorio;42;42002;11;F;6
2018/2019;4201;Marche;L-18;Economia e Commercio;44;44066;7;M;6
2018/2019;4201;Marche;L-18;Scienze Economiche e Aziendali;44;44066;7;F;6
2018/2019;4201;Marche;LM-87;Organizzazione e Gestione dei Servizi Sociali;42;42002;14;F;6
2018/2019;4301;Macerata;31;Scienze Giuridiche;43;43023;8;F;6
2018/2019;4302;Camerino;L-14;Scienze dei Servizi Giuridici;43;43007;8;M;6
2018/2019;4302;Camerino;L-31;Informatica;44;44007;10;M;6
2018/2019;4801;Firenze;20;Scienze e Tecnologie Agrarie;48;48017;13;M;6
2018/2019;4801;Firenze;20;Scienze Forestali e Ambientali;48;48017;13;M;6
2018/2019;4801;Firenze;8;Ingegneria per l'Ambiente ed il Territorio;48;48017;11;F;6
2018/2019;4801;Firenze;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);48;48017;14;M;6
2018/2019;4801;Firenze;LM-1;Studi Geografici ed Antropologici;48;48017;5;M;6
2018/2019;4801;Firenze;LM-29;Ingegneria Elettronica;48;48017;12;F;6
2018/2019;4801;Firenze;LM-35;Geoingegneria;48;48017;11;F;6
2018/2019;4801;Firenze;LM-36;Lingue e Civilta dell'Oriente Antico e Moderno;48;48017;4;M;6
2018/2019;4801;Firenze;LM-62;Scienze della Politica e dei Processi Decisionali;48;48017;5;M;6
2018/2019;4804;Firenze IUL - telematica;L-22;Scienze Motorie, Pratica e Gestione delle Attività Sportive;48;48017;15;F;6
2018/2019;5001;Pisa;10;Ingegneria Chimica;50;50026;12;M;6
2018/2019;5001;Pisa;16/S;Letterature e Filologie Europee;50;50026;3;F;6
2018/2019;5001;Pisa;21;Chimica;50;50026;9;F;6
2018/2019;5001;Pisa;21;Chimica;50;50026;9;M;6
2018/2019;5001;Pisa;2/S;Archeologia;50;50026;3;F;6
2018/2019;5001;Pisa;20;Scienze Agrarie;50;50026;13;F;6
2018/2019;5001;Pisa;26;Informatica;50;50026;10;F;6
2018/2019;5001;Pisa;32;Matematica;50;50026;9;F;6
2018/2019;5001;Pisa;99999;Lingue e letterature straniere moderne;50;50026;4;F;6
2018/2019;5001;Pisa;DS1;Scienze Marittime e Navali;49;49009;5;F;6
2018/2019;5001;Pisa;L-7;Ingegneria Civile e Ambientale;50;50026;11;F;6
2018/2019;5001;Pisa;LM-21;Ingegneria Bionica;50;50026;12;F;6
2018/2019;5001;Pisa;LM-27;Ingegneria delle Telecomunicazioni;50;50026;12;F;6
2018/2019;5001;Pisa;LM-32;Embedded Computing Systems;50;50026;12;F;6
2018/2019;5001;Pisa;LM-33;Ingegneria Meccanica;50;50026;12;F;6
2018/2019;5001;Pisa;LM-7;Biosicurezza e Qualita degli Alimenti;50;50026;9;F;6
2018/2019;5001;Pisa;SNT2;Corso di Laurea in Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);50;50026;14;F;6
2018/2019;5001;Pisa;SNT3;Corso di Laurea in Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);50;50026;14;F;6
2018/2019;5201;Siena;12;Scienze Biologiche;52;52032;9;M;6
2018/2019;5201;Siena;14/S;Chimica e Tecnologia Farmaceutiche;52;52032;14;M;6
2018/2019;5201;Siena;22/S;Giurisprudenza;52;52032;8;F;6
2018/2019;5201;Siena;99999;Scienze economiche e bancarie;52;52032;7;M;6
2018/2019;5201;Siena;99999;Scienze politiche;52;52032;5;M;6
2018/2019;5201;Siena;LM-78;Storia e Filosofia;51;51002;3;F;6
2018/2019;5201;Siena;SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);52;52032;14;M;6
2018/2019;5401;Perugia;13;Scienze dei Beni Storico-Artistici, Archivistico Librari e Musicali;54;54039;2;F;6
2018/2019;5401;Perugia;17;Corso di Laurea in Economia Aziendale;54;54039;7;F;6
2018/2019;5401;Perugia;26;Corso di Laurea in Informatica;54;54039;10;M;6
2018/2019;5401;Perugia;L-12;Lingue e Culture Straniere e Mediazione Linguistica;54;54039;4;F;6
2018/2019;5401;Perugia;L-18;Economia dei Mercati e degli Intermediari Finanziari;54;54039;7;F;6
2018/2019;5401;Perugia;LM-18;Informatica;54;54039;10;F;6
2018/2019;5403;Perugia Stranieri;LM-14;Itas - Italiano per l'Insegnamento a Stranieri;54;54039;3;M;6
2018/2019;5601;Tuscia;14;Scienze della Comunicazione;56;56059;5;F;6
2018/2019;5601;Tuscia;15;Scienze Organizzative e Gestionali;56;56059;5;F;6
2018/2019;5601;Tuscia;20;Scienze e Tecnologie Agrarie;56;56059;13;M;6
2018/2019;5601;Tuscia;L-1;Conservazione dei Beni Culturali;56;56059;2;F;6
2018/2019;5601;Tuscia;L-14;Scienze Giuridiche;56;56059;8;F;6
2018/2019;5601;Tuscia;LM-89;Archeologia e Storia dell'Arte. Tutela e Valorizzazione;56;56059;2;M;6
2018/2019;5801;Roma La Sapienza;15;Scienze Politiche e Relazioni Internazionali;58;58091;5;M;6
2018/2019;5801;Roma La Sapienza;25;Fisica;58;58091;9;M;6
2018/2019;5801;Roma La Sapienza;31;Scienze Giuridiche;58;58091;8;F;6
2018/2019;5801;Roma La Sapienza;34;Scienze e Tecniche Psicologico-Sociali di Analisi e Intervento Nel Lavoro, nelle Organizzazioni, nelle Istituzioni;58;58091;6;M;6
2018/2019;5801;Roma La Sapienza;38;Scienze Storiche;58;58091;3;F;6
2018/2019;5801;Roma La Sapienza;38;Teorie e Pratiche dell'Antropologia;58;58091;3;F;6
2018/2019;5801;Roma La Sapienza;46/S;"Laurea Specialistica in Medicina e Chirurgia ""C""";58;58091;14;M;6
2018/2019;5801;Roma La Sapienza;99999;Chimica;58;58091;9;M;6
2018/2019;5801;Roma La Sapienza;99999;Economia e commercio;59;59011;7;F;6
2018/2019;5801;Roma La Sapienza;99999;Ingegneria chimica;58;58091;12;M;6
2018/2019;5801;Roma La Sapienza;99999;Ingegneria meccanica;58;58091;12;F;6
2018/2019;5801;Roma La Sapienza;99999;Lingue e civiltà orientali;58;58091;4;F;6
2018/2019;5801;Roma La Sapienza;99999;Matematica;58;58091;9;F;6
2018/2019;5801;Roma La Sapienza;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);58;58091;14;M;6
2018/2019;5801;Roma La Sapienza;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);58;58091;14;M;6
2018/2019;5801;Roma La Sapienza;L-1;Scienze Archivistiche e Librarie;58;58091;2;M;6
2018/2019;5801;Roma La Sapienza;L-17;Scienze dell'Architettura e della Citta;58;58091;11;F;6
2018/2019;5801;Roma La Sapienza;L-33;Economia;58;58091;7;M;6
2018/2019;5801;Roma La Sapienza;L-42;Storia Medievale, Moderna e Contemporanea;58;58091;3;M;6
2018/2019;5801;Roma La Sapienza;LM-19;Design, Comunicazione Visiva e Multimediale;58;58091;5;F;6
2018/2019;5801;Roma La Sapienza;LM-19;Design, Comunicazione Visiva e Multimediale;58;58091;5;M;6
2018/2019;5801;Roma La Sapienza;LM-32;Intelligenza Artificiale e Robotica;58;58091;12;F;6
2018/2019;5801;Roma La Sapienza;LM-87;Politiche e Servizi Sociali;58;58091;14;F;6
2018/2019;5802;Roma Tor Vergata;L/SNT1;Infermieristica Pediatrica (Abilitante alla Professione Sanitaria di Infermiere Pediatrico);58;58091;14;M;6
2018/2019;5802;Roma Tor Vergata;L-23;Scienze e Tecniche dell'Edilizia;58;58091;11;F;6
2018/2019;5802;Roma Tor Vergata;L-8;Ingegneria delle Tecnologie di Internet;58;58091;12;M;6
2018/2019;5802;Roma Tor Vergata;LM-15;Archeologia, Filologia, Letterature e Storia dell'Antichità;58;58091;3;M;6
2018/2019;5802;Roma Tor Vergata;LM-25;Ingegneria dell'Automazione;58;58091;12;F;6
2018/2019;5802;Roma Tor Vergata;LM-30;Ingegneria Energetica;58;58091;12;F;6
2018/2019;5802;Roma Tor Vergata;LM-53;Scienza e Tecnologia dei Materiali;58;58091;12;F;6
2018/2019;5803;Roma LUMSA;L-36;Scienze Politiche e Relazioni Internazionali;58;58091;5;F;6
2018/2019;5803;Roma LUMSA;LM-51;Psicologia Clinica del Ciclo di Vita;58;58091;6;F;6
2018/2019;5807;Roma Tre;18-bis;Scienze della Formazione Primaria;58;58091;1;M;6
2018/2019;5807;Roma Tre;99999;Economia e commercio;58;58091;7;F;6
2018/2019;5807;Roma Tre;LM-15;Filologia, Letterature e Storia dell'Antichità;58;58091;3;M;6
2018/2019;5809;Roma UNINT;LM-37;Lingue per la Comunicazione Interculturale e la Didattica;58;58091;4;M;6
2018/2019;5810;Roma Marconi - telematica;7;Corso di Laurea in Scienze Geo-Topo-Cartografiche, Estimative, Territoriali ed Edilizie;58;58091;11;M;6
2018/2019;5813;Roma UNINETTUNO - telematica;9;Ingegneria Informatica;58;58091;12;F;6
