Anno,Ateneo,Classe,Corso,GruppoCodice,Sesso,Iscritti
2010/2011,Bari,LM-77,Economia e Management,7,M,121
2010/2011,Bari,99999,Economia e amministrazione delle imprese,7,F,8
2010/2011,Bari,99999,Economia e commercio,7,F,242
2010/2011,Bari,99999,Economia e commercio,7,M,255
2010/2011,Bari,SNT2,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),14,F,111
2010/2011,Bari,SNT2,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),14,M,21
2010/2011,Bari,18,"Educazione Professionale Nel Campo del Disagio Minorile, della Devianza e della Marginalita",1,F,135
2010/2011,Bari,18,"Educazione Professionale Nel Campo del Disagio Minorile, della Devianza e della Marginalita",1,M,10
2010/2011,Bari,18,"Educazione Professionale Nel Campo del Disagio Minorile, della Devianza e della Marginalita - Sede di Taranto",1,F,11
2010/2011,Bari,18,"Educazione Professionale Nel Campo del Disagio Minorile, della Devianza e della Marginalita - Sede di Taranto",1,F,68
2010/2011,Bari,99999,Farmacia,14,F,11
2010/2011,Bari,14/S,Farmacia,14,F,586
2010/2011,Bari,LM-13,Farmacia,14,F,601
2010/2011,Bari,LM-13,Farmacia,14,M,190
2010/2011,Bari,14/S,Farmacia,14,M,222
2010/2011,Bari,16/S,Filologia Moderna,3,F,13
2010/2011,Bari,LM-14,Filologia Moderna,3,F,257
2010/2011,Bari,LM-14,Filologia Moderna,3,M,44
2010/2011,Bari,LM-15,"Filologia, Letterature e Storia dell'Antichita",3,F,30
2010/2011,Bari,LM-15,"Filologia, Letterature e Storia dell'Antichita",3,M,6
2010/2011,Bari,LM-15,"Filologia, Letterature e Storia dell?Antichita",3,F,39
2010/2011,Bari,LM-15,"Filologia, Letterature e Storia dell?Antichita",3,M,6
2010/2011,Bari,18/S,Filosofia,3,F,7
2010/2011,Bari,29,Filosofia,3,F,27
2010/2011,Bari,99999,Filosofia,3,F,64
2010/2011,Bari,L-5,Filosofia,3,F,210
2010/2011,Bari,29,Filosofia,3,M,20
2010/2011,Bari,99999,Filosofia,3,M,25
2010/2011,Bari,L-5,Filosofia,3,M,114
2010/2011,Bari,25,Fisica,9,F,19
2010/2011,Bari,99999,Fisica,9,F,22
2010/2011,Bari,LM-17,Fisica,9,F,29
2010/2011,Bari,L-30,Fisica,9,F,52
2010/2011,Bari,99999,Fisica,9,M,30
2010/2011,Bari,LM-17,Fisica,9,M,39
2010/2011,Bari,25,Fisica,9,M,42
2010/2011,Bari,L-30,Fisica,9,M,113
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,8
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,35
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,91
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,188
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,6
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,12
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,27
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,61
2010/2011,Bari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,156
2010/2011,Bari,27,Gestione delle Risorse del Mare e delle Coste,9,F,17
2010/2011,Bari,27,Gestione delle Risorse del Mare e delle Coste,9,M,8
2010/2011,Bari,99999,Giurisprudenza,8,F,65
2010/2011,Bari,LMG/01,Giurisprudenza,8,F,916
2010/2011,Bari,99999,Giurisprudenza,8,F,1062
2010/2011,Bari,LMG/01,Giurisprudenza,8,F,3784
2010/2011,Bari,99999,Giurisprudenza,8,M,36
2010/2011,Bari,LMG/01,Giurisprudenza,8,M,598
2010/2011,Bari,99999,Giurisprudenza,8,M,607
2010/2011,Bari,LMG/01,Giurisprudenza,8,M,2254
2010/2011,Bari,SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,F,69
2010/2011,Bari,SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,M,19
2010/2011,Bari,LM-86,Igiene e Sicurezza degli Alimenti di Origine Animale,13,M,9
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,26
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,37
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,58
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,61
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,64
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,155
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,188
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,218
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,609
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,17
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,28
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,30
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,32
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,33
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,94
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,113
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,127
2010/2011,Bari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,342
2010/2011,Bari,99999,Informatica,10,F,7
2010/2011,Bari,23/S,Informatica,10,F,10
2010/2011,Bari,L-31,Informatica,10,F,18
2010/2011,Bari,LM-18,Informatica,10,F,45
2010/2011,Bari,26,Informatica,10,F,48
2010/2011,Bari,L-31,Informatica,10,F,59
2010/2011,Bari,26,Informatica,10,M,11
2010/2011,Bari,99999,Informatica,10,M,18
2010/2011,Bari,23/S,Informatica,10,M,20
2010/2011,Bari,L-31,Informatica,10,M,133
2010/2011,Bari,26,Informatica,10,M,163
2010/2011,Bari,LM-18,Informatica,10,M,189
2010/2011,Bari,L-31,Informatica,10,M,328
2010/2011,Bari,26,Informatica -Sede di Brindisi,10,M,8
2010/2011,Bari,26,Informatica e Comunicazione Digitale,10,F,23
2010/2011,Bari,L-31,Informatica e Comunicazione Digitale,10,F,33
2010/2011,Bari,L-31,Informatica e Comunicazione Digitale,10,F,68
2010/2011,Bari,26,Informatica e Comunicazione Digitale,10,M,109
2010/2011,Bari,L-31,Informatica e Comunicazione Digitale,10,M,117
2010/2011,Bari,L-31,Informatica e Comunicazione Digitale,10,M,186
2010/2011,Bari,26,Informatica e Comunicazione Digitale - Sede di Taranto,10,F,7
2010/2011,Bari,26,Informatica e Comunicazione Digitale - Sede di Taranto,10,M,35
2010/2011,Bari,L-31,Informatica e Tecnologie per la Produzione del Software,10,F,35
2010/2011,Bari,26,Informatica e Tecnologie per la Produzione del Software,10,M,50
2010/2011,Bari,L-31,Informatica e Tecnologie per la Produzione del Software,10,M,317
2010/2011,Bari,L-29,Informazione Scientifica sul Farmaco,9,F,81
2010/2011,Bari,24,Informazione Scientifica sul Farmaco,9,F,81
2010/2011,Bari,L-29,Informazione Scientifica sul Farmaco,9,M,53
2010/2011,Bari,24,Informazione Scientifica sul Farmaco,9,M,62
2010/2011,Bari,LM-19,Informazione e Sistemi Editoriali,5,F,104
2010/2011,Bari,LM-19,Informazione e Sistemi Editoriali,5,M,39
2010/2011,Bari,SNT1/S,Laurea Specialistica in Scienze delle Professioni Sanitarie della Prevenzione,14,F,19
2010/2011,Bari,SNT1/S,Laurea Specialistica in Scienze delle Professioni Sanitarie della Prevenzione,14,M,23
2010/2011,Bari,SNT1/S,Laurea Specialistica in Scienze delle Professioni Sanitarie della Riabilitazione,14,F,29
2010/2011,Bari,SNT1/S,Laurea Specialistica in Scienze delle Professioni Sanitarie della Riabilitazione,14,M,10
2010/2011,Bari,L-19,Laurea in Scienze dell'Educazione e dell'Animazione Socio-Culturale,1,F,215
2010/2011,Bari,L-19,Laurea in Scienze dell'Educazione e dell'Animazione Socio-Culturale,1,M,15
2010/2011,Bari,23,Laurea in Scienze e Tecnologie della Moda,2,F,50
2010/2011,Bari,23,Laurea in Scienze e Tecnologie della Moda,2,F,205
2010/2011,Bari,23,Laurea in Scienze e Tecnologie della Moda,2,M,6
2010/2011,Bari,23,Laurea in Scienze e Tecnologie della Moda,2,M,22
2010/2011,Bari,5,Lettere,3,F,226
2010/2011,Bari,99999,Lettere,3,F,243
2010/2011,Bari,L-10,Lettere,3,F,1177
2010/2011,Bari,99999,Lettere,3,M,57
2010/2011,Bari,5,Lettere,3,M,86
2010/2011,Bari,L-10,Lettere,3,M,348
2010/2011,Bari,5,Lettere Moderne - Taranto,3,F,19
2010/2011,Bari,5,Lettere Moderne - Taranto,3,F,36
2010/2011,Bari,5,Lettere Moderne - Taranto,3,M,6
2010/2011,Bari,L-10,Lettere e Culture del Territorio,3,F,98
2010/2011,Bari,L-10,Lettere e Culture del Territorio,3,M,20
2010/2011,Bari,LM-38,Lingue Moderne per la Cooperazione Internazionale,4,F,176
2010/2011,Bari,LM-38,Lingue Moderne per la Cooperazione Internazionale,4,M,27
2010/2011,Bari,42/S,Lingue e Culture Europee e Americane,4,F,46
2010/2011,Bari,LM-37,Lingue e Letterature Moderne,4,F,114
2010/2011,Bari,LM-37,Lingue e Letterature Moderne,4,M,10
2010/2011,Bari,11,Lingue e Letterature Straniere,4,F,748
2010/2011,Bari,11,Lingue e Letterature Straniere,4,M,126
2010/2011,Bari,99999,Lingue e letterature straniere,4,F,180
2010/2011,Bari,99999,Lingue e letterature straniere,4,M,11
2010/2011,Bari,SNT2,Logopedia (Abilitante alla Professione Sanitaria di Logopedista),14,F,64
2010/2011,Bari,71/S,Management Amministrativo,5,F,8
2010/2011,Bari,84/S,Marketing,7,F,43
2010/2011,Bari,LM-77,Marketing,7,F,123
2010/2011,Bari,84/S,Marketing,7,M,30
2010/2011,Bari,LM-77,Marketing,7,M,105
2010/2011,Bari,L-18,Marketing e Comunicazione d'Azienda,7,F,256
2010/2011,Bari,L-18,Marketing e Comunicazione d'Azienda,7,M,269
2010/2011,Bari,99999,Marketing e comunicazione d'azienda,7,F,6
2010/2011,Bari,LM-40,Matematica,9,F,52
2010/2011,Bari,99999,Matematica,9,F,63
2010/2011,Bari,32,Matematica,9,F,78
2010/2011,Bari,L-35,Matematica,9,F,132
2010/2011,Bari,99999,Matematica,9,M,14
2010/2011,Bari,LM-40,Matematica,9,M,30
2010/2011,Bari,32,Matematica,9,M,38
2010/2011,Bari,L-35,Matematica,9,M,70
2010/2011,Bari,99999,Materie letterarie,3,F,7
2010/2011,Bari,LM-42,Medicina Veterinaria,13,F,124
2010/2011,Bari,47/S,Medicina Veterinaria,13,F,445
2010/2011,Bari,LM-42,Medicina Veterinaria,13,M,60
2010/2011,Bari,47/S,Medicina Veterinaria,13,M,266
2010/2011,Bari,LM-69,Medicina delle Piante,13,F,9
2010/2011,Bari,LM-69,Medicina delle Piante,13,M,27
2010/2011,Bari,LM-41,Medicina e Chirurgia,14,F,379
2010/2011,Bari,46/S,Medicina e Chirurgia,14,F,1270
2010/2011,Bari,LM-41,Medicina e Chirurgia,14,M,361
2010/2011,Bari,46/S,Medicina e Chirurgia,14,M,738
2010/2011,Bari,99999,Medicina e chirurgia,14,F,201
2010/2011,Bari,99999,Medicina e chirurgia,14,M,149
2010/2011,Bari,99999,Medicina veterinaria,13,F,20
2010/2011,Bari,99999,Medicina veterinaria,13,M,16
2010/2011,Bari,LM-46,Odontoiatria e Protesi Dentaria,14,F,21
2010/2011,Bari,52/S,Odontoiatria e Protesi Dentaria,14,F,79
2010/2011,Bari,LM-46,Odontoiatria e Protesi Dentaria,14,M,32
2010/2011,Bari,52/S,Odontoiatria e Protesi Dentaria,14,M,95
2010/2011,Bari,99999,Odontoiatria e protesi dentaria,14,F,16
2010/2011,Bari,99999,Odontoiatria e protesi dentaria,14,M,33
2010/2011,Bari,L-14,Operatore dei Servizi Giuridici,8,F,18
2010/2011,Bari,L-14,Operatore dei Servizi Giuridici,8,F,78
2010/2011,Bari,L-14,Operatore dei Servizi Giuridici,8,M,11
2010/2011,Bari,L-14,Operatore dei Servizi Giuridici,8,M,80
2010/2011,Bari,6,Operatore dei Servizi Sociali,14,F,253
2010/2011,Bari,6,Operatore dei Servizi Sociali,14,M,19
2010/2011,Bari,19,Operatori delle Amministrazioni Pubbliche e Private,5,F,77
2010/2011,Bari,19,Operatori delle Amministrazioni Pubbliche e Private,5,M,114
2010/2011,Bari,SNT2,Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia ),14,F,30
2010/2011,Bari,SNT2,Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia ),14,M,10
2010/2011,Bari,SNT1,Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o),14,F,102
2010/2011,Bari,99999,Pedagogia,1,F,20
2010/2011,Bari,20,Produzioni Animali nei Sistemi Agrari,13,M,9
2010/2011,Bari,LM-87,Progettazione delle Politiche di Inclusione Sociale,14,F,109
2010/2011,Bari,LM-87,Progettazione delle Politiche di Inclusione Sociale,14,M,9
2010/2011,Bari,L-10,Progettazione e Gestione delle Attivita' Culturali,3,F,43
2010/2011,Bari,L-10,Progettazione e Gestione delle Attivita' Culturali,3,M,14
2010/2011,Bari,56/S,Programmazione e Gestione dei Servizi Educativi e Formativi,1,F,136
2010/2011,Bari,56/S,Programmazione e Gestione dei Servizi Educativi e Formativi,1,M,7
2010/2011,Bari,99999,Psicologia,6,F,17
2010/2011,Bari,LM-51,Psicologia Clinica,6,F,220
2010/2011,Bari,LM-51,Psicologia Clinica,6,M,16
2010/2011,Bari,58/S,Psicologia Clinica dello Sviluppo e delle Relazioni,6,F,52
2010/2011,Bari,58/S,Psicologia dell'Organizzazione e della Comunicazione,6,F,34
2010/2011,Bari,58/S,Psicologia dell'Organizzazione e della Comunicazione,6,M,10
2010/2011,Bari,LM-52,Relazioni Internazionali,5,F,66
2010/2011,Bari,LM-52,Relazioni Internazionali,5,M,61
2010/2011,Bari,25,Scienza dei Materiali,9,F,11
2010/2011,Bari,L-30,Scienza dei Materiali,9,F,32
2010/2011,Bari,25,Scienza dei Materiali,9,M,37
2010/2011,Bari,L-30,Scienza dei Materiali,9,M,62
2010/2011,Bari,41,Scienza e Tecnologia per la Diagnostica e Conservazione dei Beni Culturali,9,F,65
2010/2011,Bari,41,Scienza e Tecnologia per la Diagnostica e Conservazione dei Beni Culturali,9,M,19
2010/2011,Bari,LM-53,Scienza e Tecnologie dei Materiali,12,F,6
2010/2011,Bari,LM-53,Scienza e Tecnologie dei Materiali,12,M,12
2010/2011,Bari,LM-11,Scienza per la Diagnostica e Conservazione dei Beni Culturali,9,F,29
2010/2011,Bari,LM-11,Scienza per la Diagnostica e Conservazione dei Beni Culturali,9,M,8
2010/2011,Bari,27,Scienze Ambientali,9,F,16
2010/2011,Bari,L-32,Scienze Ambientali,9,F,37
2010/2011,Bari,27,Scienze Ambientali,9,M,16
2010/2011,Bari,L-32,Scienze Ambientali,9,M,34
2010/2011,Bari,L-38,Scienze Animali e Produzioni Alimentari,13,F,70
2010/2011,Bari,L-38,Scienze Animali e Produzioni Alimentari,13,M,33
2010/2011,Bari,L-13,Scienze Biologiche,9,F,402
2010/2011,Bari,L-13,Scienze Biologiche,9,M,91
2010/2011,Bari,6/S,Scienze Biosanitarie,9,F,18
2010/2011,Bari,LM-6,Scienze Biosanitarie,9,F,115
2010/2011,Bari,12,Scienze Biosanitarie,9,F,190
2010/2011,Bari,LM-6,Scienze Biosanitarie,9,M,25
2010/2011,Bari,12,Scienze Biosanitarie,9,M,39
2010/2011,Bari,LM-54,Scienze Chimiche,9,F,28
2010/2011,Bari,LM-54,Scienze Chimiche,9,M,23
2010/2011,Bari,LM-78,Scienze Filosofiche,3,F,82
2010/2011,Bari,LM-78,Scienze Filosofiche,3,M,34
2010/2011,Bari,L-25,Scienze Forestali e Ambientali,13,F,30
2010/2011,Bari,L-25,Scienze Forestali e Ambientali,13,M,45
2010/2011,Bari,20,Scienze Forestali ed Ambientali,13,F,9
2010/2011,Bari,20,Scienze Forestali ed Ambientali,13,M,27
2010/2011,Bari,86/S,Scienze Geologiche,9,F,8
2010/2011,Bari,16,Scienze Geologiche,9,F,21
2010/2011,Bari,L-34,Scienze Geologiche,9,F,47
2010/2011,Bari,86/S,Scienze Geologiche,9,M,11
2010/2011,Bari,16,Scienze Geologiche,9,M,35
2010/2011,Bari,L-34,Scienze Geologiche,9,M,43
2010/2011,Bari,LM-74,Scienze Geologiche e Geofisiche,9,F,15
